Date,BCI,BCIp,BCIg
27/10/1977,105.2,93.8,12.9
03/11/1977,105.4,97.4,12.6
10/11/1977,105.6,100.0,12.2
17/11/1977,106.8,100.0,12.6
24/11/1977,106.8,100.0,13.1
01/12/1977,107.1,100.0,13.5
08/12/1977,106.3,87.2,13.4
15/12/1977,106.7,93.6,13.0
22/12/1977,106.7,93.5,12.5
29/12/1977,107.2,100.0,12.2
05/01/1978,107.6,100.0,12.5
12/01/1978,107.1,91.6,12.4
19/01/1978,106.9,88.8,12.1
26/01/1978,107.1,92.1,11.8
02/02/1978,106.6,84.4,11.1
09/02/1978,106.4,82.0,10.5
16/02/1978,106.7,85.4,10.2
23/02/1978,105.4,65.4,9.2
02/03/1978,105.0,59.7,8.2
09/03/1978,104.7,54.7,7.1
16/03/1978,105.2,63.2,6.3
23/03/1978,105.7,69.5,6.3
30/03/1978,105.6,68.3,6.4
06/04/1978,105.5,66.9,6.7
13/04/1978,106.0,75.7,6.9
20/04/1978,107.3,95.1,7.6
27/04/1978,108.8,100.0,9.0
04/05/1978,109.9,100.0,10.9
11/05/1978,110.5,100.0,12.9
18/05/1978,111.7,100.0,14.8
25/05/1978,112.0,100.0,16.1
01/06/1978,112.3,100.0,17.0
08/06/1978,113.5,100.0,18.2
15/06/1978,114.0,100.0,18.9
22/06/1978,113.7,95.1,19.4
29/06/1978,113.1,86.9,19.4
06/07/1978,112.8,82.5,18.7
13/07/1978,113.0,85.7,17.8
20/07/1978,113.1,87.2,17.2
27/07/1978,113.2,89.1,17.0
03/08/1978,113.9,98.7,17.2
10/08/1978,114.7,100.0,17.7
17/08/1978,114.5,96.8,18.1
24/08/1978,114.3,94.1,18.2
31/08/1978,113.7,85.8,17.8
07/09/1978,113.6,83.6,16.9
14/09/1978,114.4,95.4,16.5
21/09/1978,114.0,90.3,16.0
28/09/1978,113.6,83.2,15.5
05/10/1978,113.7,85.5,15.3
12/10/1978,114.4,95.2,14.9
19/10/1978,114.1,91.4,14.6
26/10/1978,113.0,74.8,14.0
02/11/1978,112.5,67.9,13.1
09/11/1978,112.7,70.0,12.0
16/11/1978,112.5,67.9,11.0
23/11/1978,112.9,73.2,10.7
30/11/1978,113.7,84.7,11.0
07/12/1978,113.2,77.5,11.0
14/12/1978,113.6,84.3,11.3
21/12/1978,113.0,75.0,11.1
28/12/1978,112.6,69.8,10.4
04/01/1979,112.6,69.0,9.9
11/01/1979,113.1,76.7,9.5
18/01/1979,112.8,72.6,9.2
25/01/1979,112.6,69.2,9.0
01/02/1979,112.5,67.4,8.8
08/02/1979,111.7,55.9,7.9
15/02/1979,111.3,50.7,7.1
22/02/1979,111.3,50.4,6.3
01/03/1979,110.3,36.0,5.2
08/03/1979,109.7,26.0,4.1
15/03/1979,109.8,28.7,3.3
22/03/1979,110.1,32.3,2.6
29/03/1979,110.0,31.1,2.3
05/04/1979,109.9,29.3,2.2
12/04/1979,110.3,34.9,2.3
19/04/1979,109.8,27.4,2.0
26/04/1979,110.0,31.7,1.9
03/05/1979,110.5,38.8,2.1
10/05/1979,110.6,39.5,2.1
17/05/1979,110.6,40.4,2.5
24/05/1979,111.4,52.1,3.1
31/05/1979,111.4,50.9,3.4
07/06/1979,111.2,48.4,3.7
14/06/1979,111.7,55.7,4.2
21/06/1979,111.9,58.7,4.4
28/06/1979,111.8,58.1,4.7
05/07/1979,111.6,53.9,4.9
12/07/1979,111.7,56.6,5.0
19/07/1979,110.8,42.9,4.6
26/07/1979,110.1,32.7,3.9
02/08/1979,110.2,33.8,3.4
09/08/1979,110.1,32.8,2.8
16/08/1979,110.1,33.2,2.6
23/08/1979,110.0,31.3,2.7
30/08/1979,109.9,29.2,2.7
06/09/1979,109.6,25.1,2.6
13/09/1979,109.4,22.2,2.4
20/09/1979,109.6,24.6,2.3
27/09/1979,110.0,31.3,2.5
04/10/1979,110.0,31.6,2.9
11/10/1979,109.8,27.7,3.2
18/10/1979,108.5,9.3,2.9
25/10/1979,107.1,-11.8,1.7
01/11/1979,106.7,-16.7,0.5
08/11/1979,106.5,-20.7,-0.8
15/11/1979,106.2,-25.3,-1.6
22/11/1979,106.4,-22.0,-1.7
29/11/1979,105.6,-33.1,-2.0
06/12/1979,105.2,-39.7,-2.3
13/12/1979,104.8,-45.7,-2.7
20/12/1979,104.6,-48.2,-3.2
27/12/1979,103.3,-66.6,-3.9
03/01/1980,102.7,-76.1,-4.7
10/01/1980,102.0,-85.6,-5.6
17/01/1980,102.2,-83.2,-6.3
24/01/1980,102.1,-85.4,-6.5
31/01/1980,101.8,-89.3,-6.6
07/02/1980,101.3,-97.0,-6.6
14/02/1980,101.2,-97.7,-6.7
21/02/1980,100.5,-108.0,-7.0
28/02/1980,100.0,-116.0,-7.5
06/03/1980,99.5,-123.2,-7.9
13/03/1980,98.3,-140.6,-8.8
20/03/1980,97.2,-155.9,-9.9
27/03/1980,95.5,-181.8,-11.4
03/04/1980,94.8,-192.0,-13.0
10/04/1980,94.6,-194.4,-14.1
17/04/1980,94.1,-202.1,-15.0
24/04/1980,93.1,-216.9,-15.6
01/05/1980,92.2,-229.4,-16.2
08/05/1980,91.4,-241.7,-17.0
15/05/1980,90.2,-258.9,-18.1
22/05/1980,89.7,-266.8,-19.0
29/05/1980,88.2,-287.9,-20.1
05/06/1980,86.7,-310.7,-21.4
12/06/1980,86.1,-319.5,-22.5
19/06/1980,85.7,-325.2,-23.5
26/06/1980,86.3,-316.5,-23.6
03/07/1980,86.5,-313.2,-23.0
10/07/1980,86.8,-309.4,-22.1
17/07/1980,87.1,-304.2,-20.8
24/07/1980,87.7,-295.4,-19.5
31/07/1980,88.4,100.0,-18.0
07/08/1980,88.8,100.0,-16.5
14/08/1980,89.5,100.0,-14.8
21/08/1980,89.6,100.0,-13.3
28/08/1980,90.5,100.0,-11.7
04/09/1980,90.9,100.0,-10.1
11/09/1980,91.3,100.0,-8.6
18/09/1980,92.1,100.0,-6.8
25/09/1980,92.9,100.0,-5.1
02/10/1980,92.5,93.5,-3.7
09/10/1980,93.3,100.0,-2.1
16/10/1980,93.6,100.0,-0.8
23/10/1980,94.0,100.0,0.4
30/10/1980,93.4,89.1,1.4
06/11/1980,93.0,82.5,1.8
13/11/1980,93.5,92.2,2.3
20/11/1980,94.7,100.0,3.2
27/11/1980,95.1,100.0,4.6
04/12/1980,94.7,92.9,5.9
11/12/1980,94.0,80.2,6.6
18/12/1980,93.5,71.3,6.4
25/12/1980,94.2,84.5,6.3
01/01/1981,94.6,91.9,6.7
08/01/1981,94.6,91.6,7.5
15/01/1981,94.0,80.2,8.1
22/01/1981,93.8,78.1,8.2
29/01/1981,93.1,65.4,7.8
05/02/1981,92.7,57.6,7.1
12/02/1981,92.6,56.9,6.7
19/02/1981,92.3,50.7,6.3
26/02/1981,91.4,35.0,5.7
05/03/1981,91.5,36.7,5.4
12/03/1981,91.6,37.8,5.2
19/03/1981,92.0,45.0,5.3
26/03/1981,92.2,48.4,6.0
02/04/1981,92.1,47.9,6.6
09/04/1981,92.0,45.0,7.0
16/04/1981,91.7,40.3,7.0
23/04/1981,92.0,44.6,7.0
30/04/1981,91.7,39.7,6.8
07/05/1981,90.9,25.6,6.3
14/05/1981,90.3,15.1,5.6
21/05/1981,90.3,15.3,4.7
28/05/1981,89.8,7.2,3.8
04/06/1981,89.4,-0.2,3.0
11/06/1981,88.8,-11.7,2.1
18/06/1981,88.8,-10.4,1.3
25/06/1981,88.5,-16.2,0.5
02/07/1981,88.1,-23.0,-0.3
09/07/1981,87.1,-40.6,-1.2
16/07/1981,87.3,-37.8,-2.1
23/07/1981,87.3,-38.2,-2.8
30/07/1981,86.3,-54.9,-3.7
06/08/1981,86.0,-59.8,-4.2
13/08/1981,86.0,-59.9,-4.8
20/08/1981,85.2,-75.2,-5.8
27/08/1981,84.3,-91.3,-6.7
03/09/1981,83.5,-105.5,-7.9
10/09/1981,82.7,-119.5,-9.4
17/09/1981,82.7,-119.1,-10.4
24/09/1981,81.6,-138.0,-11.4
01/10/1981,80.5,-158.0,-12.5
08/10/1981,80.4,-160.1,-13.3
15/10/1981,80.2,-162.9,-14.1
22/10/1981,79.7,-172.6,-14.7
29/10/1981,78.8,-187.9,-15.0
05/11/1981,78.6,-190.8,-15.4
12/11/1981,78.2,-198.0,-15.9
19/11/1981,77.4,-212.1,-16.5
26/11/1981,77.3,-214.0,-16.8
03/12/1981,77.3,-215.0,-16.9
10/12/1981,77.1,-217.0,-16.9
17/12/1981,76.4,-230.0,-16.8
24/12/1981,76.3,-231.4,-16.7
31/12/1981,76.0,-238.1,-16.8
07/01/1982,75.5,-246.6,-17.0
14/01/1982,74.9,-257.2,-17.2
21/01/1982,74.9,-256.6,-17.2
28/01/1982,75.1,-253.9,-17.1
04/02/1982,75.6,-243.9,-16.3
11/02/1982,75.4,-248.2,-15.4
18/02/1982,75.0,-255.5,-14.8
25/02/1982,74.0,-273.1,-14.7
04/03/1982,73.2,-286.1,-15.4
11/03/1982,72.3,-303.3,-16.4
18/03/1982,71.8,-311.6,-17.4
25/03/1982,72.0,-308.8,-17.8
01/04/1982,71.5,-316.8,-18.0
08/04/1982,71.4,-318.3,-17.7
15/04/1982,71.3,-320.1,-17.3
22/04/1982,70.9,-327.7,-17.1
29/04/1982,70.7,-331.0,-16.8
06/05/1982,70.4,-336.5,-16.6
13/05/1982,70.4,-336.4,-16.3
20/05/1982,69.9,-344.8,-16.1
27/05/1982,69.1,-359.8,-16.2
03/06/1982,68.1,-376.6,-16.7
10/06/1982,67.7,-383.2,-17.4
17/06/1982,67.3,-390.6,-18.1
24/06/1982,66.8,-399.9,-18.5
01/07/1982,67.3,-391.8,-18.2
08/07/1982,67.2,-393.0,-17.7
15/07/1982,67.2,-392.4,-17.0
22/07/1982,67.6,-385.1,-15.7
29/07/1982,67.2,-393.4,-15.0
05/08/1982,66.6,-403.5,-14.6
12/08/1982,66.0,-413.9,-14.5
19/08/1982,66.0,-414.4,-14.7
26/08/1982,67.0,-396.2,-14.0
02/09/1982,67.4,-388.6,-12.7
09/09/1982,67.8,-382.9,-10.9
16/09/1982,67.7,-383.4,-9.1
23/09/1982,67.6,-385.1,-8.0
30/09/1982,67.7,-383.4,-7.2
07/10/1982,67.6,-385.8,-6.6
14/10/1982,68.6,-367.6,-5.4
21/10/1982,68.9,-363.1,-4.0
28/10/1982,69.7,-348.1,-2.2
04/11/1982,70.1,-342.1,0.0
11/11/1982,70.9,-328.1,2.0
18/11/1982,70.5,-335.1,3.5
25/11/1982,70.3,-337.8,4.4
02/12/1982,70.2,100.0,4.9
09/12/1982,71.1,100.0,5.4
16/12/1982,70.9,96.2,6.0
23/12/1982,71.1,100.0,6.9
30/12/1982,72.2,100.0,8.6
06/01/1983,72.6,100.0,10.0
13/01/1983,74.1,100.0,12.6
20/01/1983,74.9,100.0,15.6
27/01/1983,74.7,93.5,17.5
03/02/1983,75.0,100.0,19.3
10/02/1983,75.3,100.0,20.2
17/02/1983,75.6,100.0,20.7
24/02/1983,75.6,99.6,21.4
03/03/1983,76.5,100.0,22.5
10/03/1983,77.1,100.0,23.8
17/03/1983,77.2,100.0,24.9
24/03/1983,77.3,100.0,25.9
31/03/1983,77.5,100.0,26.4
07/04/1983,77.4,99.6,26.3
14/04/1983,77.6,100.0,26.2
21/04/1983,78.0,100.0,26.4
28/04/1983,78.6,100.0,26.9
05/05/1983,79.1,100.0,27.7
12/05/1983,79.7,100.0,28.7
19/05/1983,79.7,100.0,29.5
26/05/1983,80.4,100.0,30.3
02/06/1983,80.6,100.0,30.8
09/06/1983,81.4,100.0,31.4
16/06/1983,81.6,100.0,32.1
23/06/1983,82.5,100.0,32.8
30/06/1983,82.9,100.0,33.6
07/07/1983,83.4,100.0,34.2
14/07/1983,83.9,100.0,34.9
21/07/1983,84.2,100.0,35.1
28/07/1983,84.9,100.0,35.6
04/08/1983,84.7,95.0,35.4
11/08/1983,84.8,97.9,35.0
18/08/1983,85.3,100.0,34.6
25/08/1983,85.1,97.4,33.6
01/09/1983,84.9,92.0,32.5
08/09/1983,85.2,97.8,31.6
15/09/1983,85.2,98.8,30.5
22/09/1983,85.5,100.0,29.6
29/09/1983,85.6,100.0,29.1
06/10/1983,85.4,95.4,28.2
13/10/1983,86.4,100.0,28.0
20/10/1983,86.5,100.0,27.6
27/10/1983,86.7,100.0,27.3
03/11/1983,86.9,100.0,27.3
10/11/1983,87.1,100.0,26.8
17/11/1983,88.0,100.0,26.9
24/11/1983,88.3,100.0,26.9
01/12/1983,88.3,100.0,26.9
08/12/1983,88.7,100.0,27.0
15/12/1983,88.9,100.0,26.6
22/12/1983,89.1,100.0,26.1
29/12/1983,89.2,100.0,25.7
05/01/1984,89.6,100.0,25.3
12/01/1984,90.5,100.0,25.4
19/01/1984,90.9,100.0,25.7
26/01/1984,92.2,100.0,26.7
02/02/1984,92.6,100.0,27.8
09/02/1984,92.6,99.1,28.2
16/02/1984,92.5,96.7,28.3
23/02/1984,92.8,100.0,27.7
01/03/1984,92.8,98.9,26.9
08/03/1984,92.4,92.6,25.8
15/03/1984,92.3,90.5,24.9
22/03/1984,92.6,96.2,23.9
29/03/1984,92.6,96.3,23.0
05/04/1984,92.8,99.7,22.5
12/04/1984,92.6,95.4,21.9
19/04/1984,92.9,100.0,21.2
26/04/1984,92.8,98.3,20.6
03/05/1984,92.9,99.9,19.8
10/05/1984,92.8,98.0,19.2
17/05/1984,92.5,93.7,18.3
24/05/1984,92.2,88.2,17.4
31/05/1984,91.8,81.1,16.1
07/06/1984,92.5,92.9,15.4
14/06/1984,92.6,94.6,14.9
21/06/1984,92.3,89.9,14.4
28/06/1984,92.5,93.4,14.3
05/07/1984,92.6,95.0,13.9
12/07/1984,92.7,96.4,13.5
19/07/1984,92.4,91.2,13.1
26/07/1984,92.3,89.5,12.6
02/08/1984,92.8,98.5,12.3
09/08/1984,94.2,100.0,12.9
16/08/1984,94.9,100.0,13.9
23/08/1984,94.8,98.3,14.9
30/08/1984,94.6,95.3,15.5
06/09/1984,94.3,89.9,15.1
13/09/1984,94.1,86.0,14.2
20/09/1984,94.3,89.5,13.5
27/09/1984,93.6,77.7,12.5
04/10/1984,93.2,70.2,11.5
11/10/1984,92.6,59.3,10.4
18/10/1984,92.7,61.1,9.1
25/10/1984,92.6,60.2,8.3
01/11/1984,93.1,69.3,8.0
08/11/1984,93.7,79.7,8.4
15/11/1984,93.7,79.9,8.7
22/11/1984,93.6,78.0,9.0
29/11/1984,93.7,79.5,9.0
06/12/1984,93.7,80.2,8.8
13/12/1984,94.1,86.9,8.8
20/12/1984,94.3,90.8,9.0
27/12/1984,93.9,82.9,8.8
03/01/1985,93.9,83.9,8.7
10/01/1985,93.5,76.6,8.2
17/01/1985,93.8,81.0,7.8
24/01/1985,94.3,90.9,7.8
31/01/1985,95.2,100.0,8.4
07/02/1985,95.1,98.0,9.1
14/02/1985,95.1,97.4,9.7
21/02/1985,95.0,97.3,10.0
28/02/1985,95.2,100.0,9.9
07/03/1985,95.4,100.0,10.0
14/03/1985,95.5,100.0,10.1
21/03/1985,95.5,99.3,10.2
28/03/1985,95.9,100.0,10.5
04/04/1985,96.4,100.0,10.9
11/04/1985,96.6,100.0,11.3
18/04/1985,96.9,100.0,11.9
25/04/1985,96.8,97.9,12.2
02/05/1985,96.7,96.5,12.2
09/05/1985,96.7,97.3,12.1
16/05/1985,97.1,100.0,12.1
23/05/1985,97.7,100.0,12.4
30/05/1985,97.4,96.2,12.6
06/06/1985,97.4,96.1,12.7
13/06/1985,97.2,92.6,12.6
20/06/1985,96.9,87.5,12.0
27/06/1985,97.7,100.0,11.9
04/07/1985,98.4,100.0,12.2
11/07/1985,98.9,100.0,12.9
18/07/1985,98.8,99.7,13.7
25/07/1985,99.1,100.0,14.1
01/08/1985,99.3,100.0,14.4
08/08/1985,99.5,100.0,14.5
15/08/1985,99.5,99.3,14.5
22/08/1985,99.3,96.1,14.4
29/08/1985,99.5,100.0,14.3
05/09/1985,99.8,100.0,14.2
12/09/1985,99.7,98.6,14.1
19/09/1985,99.2,90.3,13.8
26/09/1985,98.9,85.4,13.3
03/10/1985,99.1,88.7,12.7
10/10/1985,98.8,83.1,12.0
17/10/1985,98.7,82.6,11.5
24/10/1985,99.2,90.6,11.4
31/10/1985,98.8,82.7,11.0
07/11/1985,98.7,81.4,10.7
14/11/1985,98.9,85.3,10.5
21/11/1985,99.4,93.1,10.4
28/11/1985,99.6,96.7,10.6
05/12/1985,99.8,99.8,10.9
12/12/1985,99.9,100.0,11.2
19/12/1985,99.9,100.0,11.2
26/12/1985,100.5,100.0,11.4
02/01/1986,101.5,100.0,12.1
09/01/1986,101.9,100.0,12.9
16/01/1986,101.2,90.0,13.3
23/01/1986,101.4,91.9,13.4
30/01/1986,101.8,99.7,13.3
06/02/1986,102.2,100.0,13.2
13/02/1986,102.7,100.0,13.6
20/02/1986,103.2,100.0,14.3
27/02/1986,103.6,100.0,14.9
06/03/1986,103.5,98.7,15.2
13/03/1986,103.9,100.0,15.5
20/03/1986,104.4,100.0,15.8
27/03/1986,104.5,100.0,15.9
03/04/1986,104.5,99.5,16.1
10/04/1986,103.8,88.0,15.7
17/04/1986,104.1,93.3,15.2
24/04/1986,104.7,100.0,14.9
01/05/1986,105.5,100.0,15.1
08/05/1986,105.5,100.0,15.7
15/05/1986,105.7,100.0,16.2
22/05/1986,105.5,97.3,16.3
29/05/1986,106.1,100.0,16.2
05/06/1986,106.6,100.0,16.4
12/06/1986,106.0,91.9,16.3
19/06/1986,106.3,96.2,16.3
26/06/1986,106.1,93.5,16.0
03/07/1986,106.3,95.9,15.5
10/07/1986,105.9,90.2,15.1
17/07/1986,104.9,73.8,14.0
24/07/1986,105.1,76.3,13.2
31/07/1986,104.7,70.0,12.1
07/08/1986,104.2,63.0,11.0
14/08/1986,104.7,70.2,10.7
21/08/1986,104.8,72.2,10.3
28/08/1986,104.9,74.3,10.3
04/09/1986,104.8,71.7,10.3
11/09/1986,104.6,69.3,10.1
18/09/1986,102.9,42.8,9.0
25/09/1986,102.6,36.8,7.7
02/10/1986,101.9,26.9,6.2
09/10/1986,102.0,28.2,4.8
16/10/1986,101.7,23.6,4.1
23/10/1986,102.1,29.2,3.8
30/10/1986,103.5,51.5,4.4
06/11/1986,104.8,71.6,5.6
13/11/1986,105.7,85.8,7.3
20/11/1986,105.8,88.0,8.9
27/11/1986,105.7,85.8,9.7
04/12/1986,106.2,93.7,10.1
11/12/1986,105.7,86.0,9.9
18/12/1986,105.4,81.5,9.5
25/12/1986,105.5,82.9,9.2
01/01/1987,106.0,90.5,8.9
08/01/1987,106.5,99.0,9.1
15/01/1987,107.3,100.0,9.8
22/01/1987,108.4,100.0,11.0
29/01/1987,110.1,100.0,12.7
05/02/1987,110.8,100.0,14.6
12/02/1987,111.2,100.0,16.2
19/02/1987,111.7,100.0,17.5
26/02/1987,111.5,98.0,17.9
05/03/1987,111.2,92.7,17.7
12/03/1987,111.5,98.1,17.6
19/03/1987,111.6,99.1,17.2
26/03/1987,112.2,100.0,17.2
02/04/1987,112.2,100.0,17.4
09/04/1987,112.7,100.0,17.7
16/04/1987,111.6,84.4,17.4
23/04/1987,112.1,91.6,17.1
30/04/1987,111.7,85.1,16.5
07/05/1987,112.3,94.2,16.0
14/05/1987,113.1,100.0,16.4
21/05/1987,112.6,92.4,16.4
28/05/1987,112.9,96.7,16.7
04/06/1987,113.8,100.0,17.2
11/06/1987,114.1,100.0,17.4
18/06/1987,115.2,100.0,18.3
25/06/1987,114.9,96.6,19.0
02/07/1987,114.6,91.5,19.1
09/07/1987,114.1,84.3,18.7
16/07/1987,114.8,95.2,18.2
23/07/1987,115.4,100.0,18.1
30/07/1987,115.3,98.2,18.1
06/08/1987,115.4,100.0,18.4
13/08/1987,116.2,100.0,18.6
20/08/1987,116.4,100.0,18.7
27/08/1987,117.2,100.0,19.1
03/09/1987,117.0,97.1,19.4
10/09/1987,116.6,90.9,19.1
17/09/1987,117.2,99.6,19.0
24/09/1987,116.9,96.5,18.4
01/10/1987,116.2,86.1,17.5
08/10/1987,117.2,100.0,17.3
15/10/1987,116.8,93.6,16.6
22/10/1987,114.3,57.8,14.8
29/10/1987,112.5,32.3,12.6
05/11/1987,114.3,58.3,10.8
12/11/1987,114.8,65.3,9.5
19/11/1987,114.4,60.5,9.2
26/11/1987,113.5,47.6,9.4
03/12/1987,112.8,37.6,8.5
10/12/1987,112.1,26.5,7.0
17/12/1987,112.7,35.9,6.0
24/12/1987,113.7,49.4,5.8
31/12/1987,113.4,46.0,5.8
07/01/1988,113.5,46.9,6.2
14/01/1988,113.3,44.0,6.2
21/01/1988,112.5,32.3,5.4
28/01/1988,112.1,27.4,4.7
04/02/1988,112.3,30.2,4.0
11/02/1988,112.0,25.7,3.4
18/02/1988,112.6,34.2,3.4
25/02/1988,112.9,38.4,3.6
03/03/1988,113.6,48.4,4.1
10/03/1988,114.1,56.1,5.0
17/03/1988,113.9,52.7,5.5
24/03/1988,114.4,59.2,6.1
31/03/1988,114.5,60.7,6.3
07/04/1988,115.1,69.8,6.7
14/04/1988,116.4,88.0,7.7
21/04/1988,115.6,77.8,8.1
28/04/1988,116.2,85.7,8.8
05/05/1988,116.5,90.1,9.3
12/05/1988,116.3,86.6,9.1
19/05/1988,116.3,87.1,9.2
26/05/1988,116.3,87.7,9.2
02/06/1988,116.7,93.5,9.1
09/06/1988,118.0,100.0,9.8
16/06/1988,118.7,100.0,10.7
23/06/1988,118.7,98.8,11.6
30/06/1988,118.9,100.0,12.4
07/07/1988,119.0,100.0,12.7
14/07/1988,118.9,98.5,12.7
21/07/1988,119.0,100.0,12.7
28/07/1988,118.6,94.1,12.4
04/08/1988,119.1,100.0,12.3
11/08/1988,118.9,96.6,12.2
18/08/1988,118.3,88.0,11.7
25/08/1988,117.8,82.2,11.3
