LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-01,99.05528,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-02,98.95365,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-03,98.92706,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-04,98.99989,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-05,99.15584,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-06,99.26515,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-07,99.1666,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-08,98.701,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-09,97.76208,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-10,96.73841,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-11,95.92914,
USA,BCI,AMPLITUD,LTRENDIDX,M,2008-12,95.47292,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-01,95.5147,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-02,95.75752,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-03,96.18231,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-04,96.8289,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-05,97.53775,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-06,98.25539,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-07,98.99183,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-08,99.60278,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-09,99.95749,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-10,100.2084,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-11,100.3411,
USA,BCI,AMPLITUD,LTRENDIDX,M,2009-12,100.5901,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-01,100.9486,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-02,101.2057,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-03,101.4201,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-04,101.3545,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-05,101.0459,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-06,100.6813,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-07,100.4773,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-08,100.4503,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-09,100.5726,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-10,100.8232,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-11,101.0895,
USA,BCI,AMPLITUD,LTRENDIDX,M,2010-12,101.2973,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-01,101.4539,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-02,101.512,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-03,101.4028,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-04,101.1215,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-05,100.6695,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-06,100.3832,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-07,100.0771,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-08,99.87782,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-09,99.74453,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-10,99.64452,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-11,99.6627,
USA,BCI,AMPLITUD,LTRENDIDX,M,2011-12,99.79218,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-01,99.93995,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-02,100.0592,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-03,100.1203,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-04,100.0873,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-05,99.88013,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-06,99.57418,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-07,99.39358,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-08,99.37438,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-09,99.37866,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-10,99.28027,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-11,99.22234,
USA,BCI,AMPLITUD,LTRENDIDX,M,2012-12,99.4063,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-01,99.74522,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-02,99.91785,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-03,99.76749,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-04,99.53385,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-05,99.50374,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-06,99.74483,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-07,100.0883,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-08,100.3873,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-09,100.5308,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-10,100.5727,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-11,100.5407,
USA,BCI,AMPLITUD,LTRENDIDX,M,2013-12,100.3946,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-01,100.2008,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-02,100.255,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-03,100.3714,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-04,100.471,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-05,100.5368,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-06,100.5853,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-07,100.6962,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-08,100.8447,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-09,100.8621,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-10,100.8823,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-11,100.7772,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-12,100.4928,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-01,100.2029,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-02,99.97372,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-03,99.8166,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-04,99.77393,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-05,99.83853,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-06,99.82958,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-07,99.68508,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-08,99.47077,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-09,99.23907,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-10,99.02915,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-11,98.86074,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-12,98.80116,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-01,98.89581,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-02,99.13251,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-03,99.39451,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-04,99.5331,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-05,99.65306,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-06,99.73598,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-07,99.63939,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-08,99.46592,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-09,99.51719,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-10,99.70565,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-11,100.0031,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-12,100.3476,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-01,100.6549,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-02,100.8315,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-03,100.7766,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-04,100.6096,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-05,100.6067,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-06,100.796,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-07,100.9851,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-08,101.2612,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-09,101.4451,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-10,101.4106,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-11,101.376,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-12,101.439,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-01,101.4924,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-02,101.518,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-03,101.3907,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-04,101.2567,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-05,101.3047,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-06,101.4237,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-07,101.4877,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-08,101.5942,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-09,101.5002,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-10,101.2774,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-11,101.0491,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-12,100.7134,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-01,100.5519,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-02,100.3759,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-03,100.2351,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-04,99.99869,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-05,99.78155,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-06,99.58585,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-07,99.35155,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-08,99.0569,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-09,98.83379,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-10,98.7626,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-11,98.78587,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-12,98.89862,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-01,99.07735,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-02,98.95319,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-03,98.51368,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-04,98.03651,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-05,98.29111,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-06,99.20708,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-07,100.0004,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-08,100.5183,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-09,100.8268,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-10,101.1209,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-11,101.2737,
USA,BCI,AMPLITUD,LTRENDIDX,M,2020-12,101.4701,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-01,101.626,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-02,101.9052,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-03,102.136,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-04,102.031,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-05,101.8849,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-06,101.7274,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-07,101.5883,
USA,BCI,AMPLITUD,LTRENDIDX,M,2021-08,101.5125,