,0
30/06/47 00:00,-1
30/09/47 00:00,-0.8
31/12/47 00:00,6.4
31/03/48 00:00,6.2
30/06/48 00:00,6.8
30/09/48 00:00,2.3
31/12/48 00:00,0.4
31/03/49 00:00,-5.4
30/06/49 00:00,-1.4
30/09/49 00:00,4.2
31/12/49 00:00,-3.3
31/03/50 00:00,16.7
30/06/50 00:00,12.8
30/09/50 00:00,16.4
31/12/50 00:00,7.9
31/03/51 00:00,5.5
30/06/51 00:00,7.1
30/09/51 00:00,8.5
31/12/51 00:00,0.9
31/03/52 00:00,4.3
30/06/52 00:00,0.9
30/09/52 00:00,2.9
31/12/52 00:00,13.8
31/03/53 00:00,7.6
30/06/53 00:00,3.1
30/09/53 00:00,-2.2
31/12/53 00:00,-5.9
31/03/54 00:00,-1.9
30/06/54 00:00,0.4
30/09/54 00:00,4.6
31/12/54 00:00,8.1
31/03/55 00:00,11.9
30/06/55 00:00,6.7
30/09/55 00:00,5.5
31/12/55 00:00,2.4
31/03/56 00:00,-1.5
30/06/56 00:00,3.3
30/09/56 00:00,-0.4
31/12/56 00:00,6.7
31/03/57 00:00,2.6
30/06/57 00:00,-0.9
30/09/57 00:00,4
31/12/57 00:00,-4.1
31/03/58 00:00,-10
30/06/58 00:00,2.7
30/09/58 00:00,9.6
31/12/58 00:00,9.7
31/03/59 00:00,7.9
30/06/59 00:00,9.3
30/09/59 00:00,0.3
31/12/59 00:00,1.1
31/03/60 00:00,9.3
30/06/60 00:00,-2.1
30/09/60 00:00,2
31/12/60 00:00,-5
31/03/61 00:00,2.7
30/06/61 00:00,7
30/09/61 00:00,7.9
31/12/61 00:00,8.1
31/03/62 00:00,7.3
30/06/62 00:00,3.7
30/09/62 00:00,5
31/12/62 00:00,1.3
31/03/63 00:00,4.4
30/06/63 00:00,4.6
30/09/63 00:00,9.1
31/12/63 00:00,2.6
31/03/64 00:00,8.7
30/06/64 00:00,4.4
30/09/64 00:00,6.4
31/12/64 00:00,1.2
31/03/65 00:00,10
30/06/65 00:00,5.1
30/09/65 00:00,9.2
31/12/65 00:00,9.5
31/03/66 00:00,10.1
30/06/66 00:00,1.4
30/09/66 00:00,3.4
31/12/66 00:00,3.3
31/03/67 00:00,3.6
30/06/67 00:00,0.2
30/09/67 00:00,3.8
31/12/67 00:00,3
31/03/68 00:00,8.4
30/06/68 00:00,6.9
30/09/68 00:00,3.1
31/12/68 00:00,1.6
31/03/69 00:00,6.4
30/06/69 00:00,1.2
30/09/69 00:00,2.7
31/12/69 00:00,-1.9
31/03/70 00:00,-0.6
30/06/70 00:00,0.6
30/09/70 00:00,3.7
31/12/70 00:00,-4.2
31/03/71 00:00,11.3
30/06/71 00:00,2.2
30/09/71 00:00,3.3
31/12/71 00:00,0.9
31/03/72 00:00,7.6
30/06/72 00:00,9.4
30/09/72 00:00,3.8
31/12/72 00:00,6.9
31/03/73 00:00,10.3
30/06/73 00:00,4.4
30/09/73 00:00,-2.1
31/12/73 00:00,3.8
31/03/74 00:00,-3.4
30/06/74 00:00,1
30/09/74 00:00,-3.7
31/12/74 00:00,-1.5
31/03/75 00:00,-4.8
30/06/75 00:00,2.9
30/09/75 00:00,7
31/12/75 00:00,5.5
31/03/76 00:00,9.3
30/06/76 00:00,3
30/09/76 00:00,2.2
31/12/76 00:00,2.9
31/03/77 00:00,4.8
30/06/77 00:00,8
30/09/77 00:00,7.4
31/12/77 00:00,0
31/03/78 00:00,1.3
30/06/78 00:00,16.4
30/09/78 00:00,4.1
31/12/78 00:00,5.5
31/03/79 00:00,0.7
30/06/79 00:00,0.4
30/09/79 00:00,3
31/12/79 00:00,1
31/03/80 00:00,1.3
30/06/80 00:00,-8
30/09/80 00:00,-0.5
31/12/80 00:00,7.7
31/03/81 00:00,8.1
30/06/81 00:00,-2.9
30/09/81 00:00,4.9
31/12/81 00:00,-4.3
31/03/82 00:00,-6.1
30/06/82 00:00,1.8
30/09/82 00:00,-1.5
31/12/82 00:00,0.2
31/03/83 00:00,5.4
30/06/83 00:00,9.4
30/09/83 00:00,8.2
31/12/83 00:00,8.6
31/03/84 00:00,8.1
30/06/84 00:00,7.1
30/09/84 00:00,3.9
31/12/84 00:00,3.3
31/03/85 00:00,3.9
30/06/85 00:00,3.6
30/09/85 00:00,6.2
31/12/85 00:00,3
31/03/86 00:00,3.8
30/06/86 00:00,1.8
30/09/86 00:00,3.9
31/12/86 00:00,2.2
31/03/87 00:00,3
30/06/87 00:00,4.4
30/09/87 00:00,3.5
31/12/87 00:00,7
31/03/88 00:00,2.1
30/06/88 00:00,5.4
30/09/88 00:00,2.4
31/12/88 00:00,5.4
31/03/89 00:00,4.1
30/06/89 00:00,3.1
30/09/89 00:00,3
31/12/89 00:00,0.8
31/03/90 00:00,4.4
30/06/90 00:00,1.5
30/09/90 00:00,0.3
31/12/90 00:00,-3.6
31/03/91 00:00,-1.9
30/06/91 00:00,3.2
30/09/91 00:00,2
31/12/91 00:00,1.4
31/03/92 00:00,4.9
30/06/92 00:00,4.4
30/09/92 00:00,4
31/12/92 00:00,4.2
31/03/93 00:00,0.7
30/06/93 00:00,2.3
30/09/93 00:00,1.9
31/12/93 00:00,5.6
31/03/94 00:00,3.9
30/06/94 00:00,5.5
30/09/94 00:00,2.4
31/12/94 00:00,4.7
31/03/95 00:00,1.4
30/06/95 00:00,1.2
30/09/95 00:00,3.5
31/12/95 00:00,2.7
31/03/96 00:00,3
30/06/96 00:00,6.8
30/09/96 00:00,3.6
31/12/96 00:00,4.2
31/03/97 00:00,2.6
30/06/97 00:00,6.8
30/09/97 00:00,5.1
31/12/97 00:00,3.5
31/03/98 00:00,4.1
30/06/98 00:00,3.8
30/09/98 00:00,5.1
31/12/98 00:00,6.6
31/03/99 00:00,3.8
30/06/99 00:00,3.4
30/09/99 00:00,5.4
31/12/99 00:00,6.7
31/03/00 00:00,1.5
30/06/00 00:00,7.5
30/09/00 00:00,0.4
31/12/00 00:00,2.4
31/03/01 00:00,-1.3
30/06/01 00:00,2.5
30/09/01 00:00,-1.6
31/12/01 00:00,1.1
31/03/02 00:00,3.4
30/06/02 00:00,2.5
30/09/02 00:00,1.6
31/12/02 00:00,0.5
31/03/03 00:00,2.1
30/06/03 00:00,3.6
30/09/03 00:00,6.8
31/12/03 00:00,4.7
31/03/04 00:00,2.3
30/06/04 00:00,3.2
30/09/04 00:00,3.8
31/12/04 00:00,4.2
31/03/05 00:00,4.5
30/06/05 00:00,2
30/09/05 00:00,3.2
31/12/05 00:00,2.3
31/03/06 00:00,5.5
30/06/06 00:00,1
30/09/06 00:00,0.6
31/12/06 00:00,3.4
31/03/07 00:00,1.2
30/06/07 00:00,2.6
30/09/07 00:00,2.4
31/12/07 00:00,2.5
31/03/08 00:00,-1.6
30/06/08 00:00,2.3
30/09/08 00:00,-2.1
31/12/08 00:00,-8.5
31/03/09 00:00,-4.6
30/06/09 00:00,-0.7
30/09/09 00:00,1.5
31/12/09 00:00,4.3
31/03/10 00:00,2
30/06/10 00:00,3.9
30/09/10 00:00,3.1
31/12/10 00:00,2.1
31/03/11 00:00,-1
30/06/11 00:00,2.7
30/09/11 00:00,-0.2
31/12/11 00:00,4.6
31/03/12 00:00,3.3
30/06/12 00:00,1.8
30/09/12 00:00,0.7
31/12/12 00:00,0.4
31/03/13 00:00,3.5
30/06/13 00:00,0.6
30/09/13 00:00,3.2
31/12/13 00:00,2.9
31/03/14 00:00,-1.4
30/06/14 00:00,5.2
30/09/14 00:00,4.7
31/12/14 00:00,1.8
31/03/15 00:00,3.3
30/06/15 00:00,2.3
30/09/15 00:00,1.3
31/12/15 00:00,0.6
31/03/16 00:00,2.4
30/06/16 00:00,1.2
30/09/16 00:00,2.4
31/12/16 00:00,2
31/03/17 00:00,1.9
30/06/17 00:00,2.3
30/09/17 00:00,2.9
31/12/17 00:00,3.8
31/03/18 00:00,3.1
30/06/18 00:00,3.4
30/09/18 00:00,1.9
31/12/18 00:00,0.9
31/03/19 00:00,2.4
30/06/19 00:00,3.2
30/09/19 00:00,2.8
31/12/19 00:00,1.9
31/03/20 00:00,-5.1
30/06/20 00:00,-31.2
30/09/20 00:00,33.8
31/12/20 00:00,4.5
31/03/21 00:00,6.3
30/06/21 00:00,6.7
